Speed (mm/s),Flowrate (cm^3/s),deposition_ratio,total_print_deviation
75.54867812638005,534.1093350899936,7.221511591447684,18.956000000000003
90.0,551.6,6.3306666666666676,14.531817376812448
99.66893668941589,590.2067016120242,5.962647481030539,11.92840000000001
150.77643954942295,533.9701089244561,3.502862144213679,15.231800000000009
100.0,478.0,4.78,9.624799999999992
124.6886730837768,478.4821518035084,3.8801027657374347,7.172400000000003
98.20269739960266,534.4711652319859,5.376334288183985,13.510599999999997
124.20894938797043,591.4854509140761,4.78879620037716,6.814599999999999
100.81141690389197,536.0486121365186,5.3733859249314095,10.275100000000007
99.64146376396236,534.6480383575649,5.313709480788907,9.9572
100.26107717138076,536.901740168931,5.3558634923847235,14.0736
100.0,592.0,5.92,10.829800000000006
150.69561643099055,533.2236473153904,3.5635891125297188,15.011800000000008
75.0,535.0,7.133333333333334,19.7808
125.0,592.0,4.736,5.560400000000001
99.61715870817811,538.2106985956506,5.399226705358868,14.803600000000005
100.15198211359917,534.0606467390402,5.3628306803608226,15.28
100.0,535.0,5.35,15.254199999999996
75.99097388497658,533.4271480742306,7.171129100181591,17.03049999999999
125.0,478.0,3.824,5.992999999999995
100.38102602411506,479.2977770439088,4.834742118252636,10.283999999999992
100.58712891965061,536.1519063102436,5.358090285266081,9.9572
100.15552731655896,533.2067833836383,5.223005259946647,14.87360000000001
100.0,535.0,5.35,15.28
73.7197328241887,533.8781226378377,7.096933335302404,19.0778
74.59697387747616,536.3497485581506,7.190885688327255,19.32589999999999
152.2298534729344,535.4054652284353,3.515141867060611,15.412200000000013
100.0,535.0,5.35,12.51060000000001
100.0,535.0,5.35,6.3003
101.8382463500727,537.1220593676086,5.360808728668445,11.6413
125.82220208265306,478.07206568431775,3.7670358669891204,17.6284
100.0,535.0,5.35,12.0867
100.14314172047072,539.9521985267984,5.367502264799559,14.0736
99.52481588965344,592.0857668606394,5.965792217827779,11.078399999999988
99.84471586127285,536.339589988818,5.39375370210372,10.275100000000007
150.25094922480747,533.7303503868942,3.5700795239418865,15.51270000000001
125.2983536527823,592.9727449658533,4.723136901012232,6.814599999999999
98.76249948921412,533.7935515126482,5.212786717308521,10.275100000000007
99.58265049132471,538.257975287146,5.407912574583952,8.848700000000001
73.9217967295811,535.049696098604,7.126416735202032,18.956000000000003
150.55388344676635,535.862985122045,3.6041840416709205,15.41070000000002
99.8285545634506,536.4340854068445,5.341778230804178,15.28
99.9820215590769,528.0079880082203,5.386993170892121,10.4283
100.79918988813087,533.3727210336461,5.304029727562681,10.275100000000007
75.33564000753569,533.4000210555192,7.122816696265354,21.778800000000004
98.831998276544,476.33983372758263,4.73350675375092,10.547700000000006
100.2981297268864,475.5923533785474,4.7717282009209745,10.283999999999992
105.0,470.8,4.725333333333333,15.274305521503997
74.80470352836292,535.8310944277024,7.175508904287831,18.729000000000013
100.15405161790045,534.2462817562259,5.447969078283973,13.510599999999997
100.29086758547278,534.1264114805425,5.352131867661537,13.510599999999997
150.0,535.0,3.566666666666667,15.176800000000014
100.0,535.0,5.35,14.0736
125.68538839136733,477.1241092197988,3.8320278941800914,7.232900000000001
124.03095719728356,589.8361870358215,4.72177043173025,5.560400000000001
100.0,592.0,5.92,11.92840000000001
100.0,535.0,5.35,15.547100000000016
125.0,592.0,4.736,6.814599999999999
76.02477173097532,533.2715003644611,7.113945481392728,11.892200000000004
100.0,535.0,5.35,9.9572
125.0,592.0,4.736,6.448499999999996
75.0,535.0,7.133333333333334,11.892200000000004
150.88743636985896,536.7472475881872,3.466639801657996,15.41070000000002
100.0,535.0,5.35,11.6413
100.92850147655858,476.793268220189,4.816091748023752,9.624799999999992
98.44689860643508,533.6887789599176,5.335295252571239,11.6413
99.21908953237705,533.1049607080957,5.3106118067798,12.0867
125.0,478.0,3.824,7.172400000000003
99.90311576046862,534.748379169725,5.388561283437046,10.275100000000007
98.08882861439369,480.7695318876277,4.764181178745831,9.2102
100.0,592.0,5.92,11.078399999999988
100.0,478.0,4.78,10.283999999999992
125.0,390.0,3.12,17.606700000000018
100.0,592.0,5.92,11.728399999999992
150.0,535.0,3.566666666666667,15.51270000000001
101.55650445539348,534.9801235681349,5.2436975702794255,9.9572
125.10232001501413,482.6759244711373,3.82081514340468,17.6284
100.30386308724076,539.9410936835159,5.372408832412267,19.339
100.0,535.0,5.35,13.456899999999996
125.69831569884833,477.60969377021365,3.8337549723721853,7.172400000000003
125.26117046108617,389.02402823964957,3.150780915660083,17.799300000000002
99.43910050972556,538.0113500842627,5.369243317643769,8.848700000000001
150.0,535.0,3.566666666666667,15.41070000000002
99.49728652106508,535.089832552076,5.32199496460786,14.0736
100.533995329098,593.478844907111,5.980239106769777,11.078399999999988
99.6570937401053,533.4196282803603,5.319248641367964,11.6413
100.0,535.0,5.35,14.87360000000001
151.0940372337874,536.2575211285686,3.5059778840211817,15.41070000000002
99.45606749286785,532.6350699360979,5.393684612465503,12.51060000000001
100.8419199216802,538.6194689617804,5.389347964481028,13.593800000000002
75.0,535.0,7.133333333333334,18.956000000000003
75.2685156915708,535.1751301288402,7.013407348363369,19.0778
100.0,535.0,5.35,3.7309999999999945
105.0,551.6,5.5280000000000005,12.569799855976399
76.2686895181379,536.8986863469914,7.0753210646870635,18.956000000000003
124.44344498922027,595.18216079239,4.716148354274601,6.814599999999999
73.21327753496124,531.4243074197585,7.208842763855659,18.777200000000008
71.94327299105528,537.4433643585568,7.0682536145269115,17.03049999999999
125.0,390.0,3.12,17.799300000000002
101.036593559834,533.9085479051425,5.425707976263366,11.6413
100.0,592.0,5.92,8.529799999999994
100.0,535.0,5.35,15.281300000000002
123.86225281466179,477.279195744024,3.898898844159618,7.232900000000001
122.9010550648509,392.36340408031197,3.1500408895253034,17.799300000000002
125.0,478.0,3.824,17.6284
75.0,535.0,7.133333333333334,21.778800000000004
101.04839347251685,532.3443231989257,5.437321454926674,3.7309999999999945
99.01055698427514,590.9142063996908,5.792907351246149,11.078399999999988
75.0,535.0,7.133333333333334,19.32589999999999
100.0,535.0,5.35,14.3793
98.81148181132045,480.75345992975826,4.895784220794333,10.547700000000006
74.18575615881286,535.1226887761125,7.1380397742634445,21.778800000000004
74.51480257085507,534.6309190045154,7.129220188895136,11.892200000000004
75.0,535.0,7.133333333333334,18.777200000000008
125.0,478.0,3.824,19.511100000000013
99.97363925125768,595.5622708939466,5.953090002474914,11.728399999999992
126.73237918363202,481.4089580550121,3.897954690506009,19.511100000000013
99.53782397527266,592.5018503005653,5.889577694188797,5.4024
101.04598589251292,479.8530049408821,4.896931681802067,9.624799999999992
100.9666531804165,536.288266451814,5.308719647470045,11.6413
75.0,535.0,7.133333333333334,19.0778
100.0,592.0,5.92,5.082999999999998
123.85157853790456,478.06107251761466,3.760549323015612,17.92670000000001
125.16522090600638,591.3817384726119,4.794144746591534,6.448499999999996
152.15911093231807,536.0337235182733,3.508306795176184,15.51270000000001
75.0,535.0,7.133333333333334,18.29520000000001
124.9549712618775,389.26319375335794,3.090280300246797,17.606700000000018
99.90659230569348,532.618503846454,5.448403755600159,8.848700000000001
75.45398004409277,537.2533504951535,6.982236071651748,18.777200000000008
101.60314012542501,536.5630472173565,5.363582528836154,14.236199999999997
125.0,478.0,3.824,7.232900000000001
150.0,535.0,3.566666666666667,15.412200000000013
98.81759777058205,591.8471412630196,5.955715455572466,8.529799999999994
150.0,535.0,3.566666666666667,15.011800000000008
99.1635156950753,591.7359756759041,6.028310751763903,5.4024
100.0,535.0,5.35,15.203199999999995
124.82515136817001,478.1985467132201,3.7492319018560574,7.232900000000001
99.65767994389395,479.4610106977837,4.834119226917023,9.2102
75.28849442171413,533.9446503700534,7.112820994739051,19.32589999999999
150.0,535.0,3.566666666666667,15.17070000000001
74.78905001177164,534.9727837362707,7.23409089148906,17.828699999999998
100.0,535.0,5.35,14.433700000000002
100.07470141436517,534.1523240764784,5.412801882748101,3.7309999999999945
151.47753673795802,532.9422887609416,3.549315890201155,15.011800000000008
150.0,535.0,3.566666666666667,15.230800000000002
124.79448484560895,591.7349924265839,4.806405990063657,6.814599999999999
75.0,535.0,7.133333333333334,21.3352
100.82160782105537,535.5502222462889,5.4112855648379306,10.4283
100.0,535.0,5.35,15.025799999999997
100.50948284825178,535.4548216030386,5.339225640212253,15.28
99.61903102973413,534.8726799903444,5.281764841431859,8.311
99.15175565710705,534.0430087594256,5.306087206633503,19.339
149.6470214201192,538.110862481821,3.684268696503901,15.17070000000001
100.0,535.0,5.35,7.603999999999999
148.83911399798833,536.964247226833,3.5563138022125624,15.231800000000009
125.0,478.0,3.824,17.92670000000001
75.0,535.0,7.133333333333334,18.729000000000013
100.09039883598324,533.1259560823482,5.280244132007313,14.0736
123.70363114493513,593.3656525290305,4.746897677071927,5.560400000000001
149.04480231503766,533.6540081776317,3.5190780598750058,15.51270000000001
100.75368292263431,536.4455216165384,5.320864761564231,15.203199999999995
99.2018110625331,535.2348571753583,5.253714829524421,15.025799999999997
74.48042834628838,535.0957299493609,7.129570198935008,17.828699999999998
75.0,535.0,7.133333333333334,17.828699999999998
100.0,478.0,4.78,10.547700000000006
100.0,535.0,5.35,10.4283
75.0397444137082,533.2975850051316,7.175669130627156,21.778800000000004
123.29551822125123,389.9802295286645,3.103893774156028,17.606700000000018
100.0,535.0,5.35,14.236199999999997
99.40035552486695,539.2402269588604,5.456041388552644,13.510599999999997
98.29294245447839,532.2806274739868,5.48959094245699,15.203199999999995
99.3277383250936,591.9228708877799,5.99878855638031,11.078399999999988
150.32424293933983,536.6525780364268,3.578674468558649,15.176800000000014
